Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
BG,,Grantham Mayo Van Otterloo & Co LLC,25566,0.0132,
BG,,Deka Investment GmbH,25502,0.0131,
BG,,Oak Thistle LLC,25229,0.013,
BG,,Ostrum Asset Management,24874,0.0128,
BG,,UBS Switzerland AG,24743,0.0128,
BG,,Capital Group Investment Management Pte.Ltd.,24698,0.0127,
BG,,Cetera Investment Advisers LLC,24568,0.0127,
BG,,"Maverick Capital, Ltd.",23975,0.0124,
BG,,Davenport Asset Management,23916,0.0123,
BG,,XTX Markets LLC,23622,0.0122,
BG,,"Walleye Trading, LLC",23550,0.0121,
BG,,BMO Capital Markets (US),23515,0.0121,
BG,,Handelsbanken Kapitalförvaltning AB,22602,0.0116,
BG,,IFM Investors,22128,0.0114,
BG,,PSP Investments,21774,0.0112,
BG,,"Vanguard Personalized Indexing Management, LLC",21685,0.0112,
BG,,Basellandschaftliche Kantonalbank,21424,0.011,
BG,,Utah Retirement Systems,21166,0.0109,
BG,,Robert W. Baird & Co. Inc.,20934,0.0108,
BG,,Trexquant Investment LP,20888,0.0108,
BG,,Metropolitan Life Insurance Co. (US),20627,0.0106,
BG,,"Focus Partners Wealth, LLC",20487,0.0106,
BG,,Legal & General Investment Management America Inc.,20427,0.0105,
BG,,J.P. Morgan Mansart Management Limited,20228,0.0104,
BG,,KeyBanc Capital Markets,20077,0.0103,
BG,,Tidal Investments LLC,20011,0.0103,
BG,,Police and Firemen's Retirement System of New Jersey,20009,0.0103,
BG,,Yousif Capital Management LLC,19935,0.0103,
BG,,"Creative Planning, LLC",19933,0.0103,
BG,,DBX Advisors LLC.,19622,0.0101,
BG,,Alaska Retirement Management Board,19622,0.0101,
BG,,MultiConcept Fund Management S.A.,19500,0.0101,
BG,,"Garrison Asset Management, LLC",19363,0.01,
BG,,"NEOS Investment Management, LLC",19316,0.01,
BG,,Fidelity Institutional Asset Management,19304,0.0099,
BG,,Enterprise Trust & Investment Company,19191,0.0099,
BG,,"Nuveen Asset Management, LLC",18942,0.0098,
BG,,CI Global Asset Management,18822,0.0097,
BG,,Sarasin & Partners LLP,18669,0.0096,
BG,,"Jones Kertz & Associates, Inc.",18659,0.0096,
BG,,BlackRock Fund Advisors,18535,0.0096,
BG,,Nordea Funds Oy,18293,0.0094,
BG,,Northern Trust Company of Hong Kong Limited,18106,0.0093,
BG,,CIBC World Markets Inc.,18007,0.0093,
BG,,Corient Private Wealth LLC,17869,0.0092,
BG,,Whitaker-Myers Wealth Managers Ltd,17818,0.0092,
BG,,"CoreCommodity Management, LLC",17800,0.0092,
BG,,"Franklin Advisory Services, LLC",17706,0.0091,
BG,,Sumitomo Life Insurance Co.,17500,0.009,
BG,,"Samsung Asset Management Co., Ltd.",17298,0.0089,
BG,,BNY Wealth,17297,0.0089,
BG,,Beacon Pointe Advisors LLC,17278,0.0089,
BG,,"Abbot Financial Management, Inc.",17107,0.0088,
BG,,Mercer Global Investments Management Ltd,17096,0.0088,
BG,,Kovack Advisors Inc,17023,0.0088,
BG,,"Hartree Partners, LP",17000,0.0088,
BG,,Niche Asset Management Limited,17000,0.0088,
BG,,PNC Investments LLC,16985,0.0088,
BG,,Ilmarinen Mutual Pension Insurance Company,16923,0.0087,
BG,,Acadian Asset Management LLC,16749,0.0086,
BG,,DFA Australia Ltd.,16692,0.0086,
BG,,"Franklin Templeton Institutional, LLC",16672,0.0086,
BG,,"Sumitomo Mitsui DS Asset Management Company, Limited",16651,0.0086,
BG,,ARS Investment Partners LLC,16344,0.0084,
BG,,"Pacific Point Advisors, LLC.",16117,0.0083,
BG,,Managed Account Advisors LLC,16064,0.0083,
BG,,"Chartwell Investment Partners, LLC",16000,0.0082,
BG,,Investment Management Corporation of Ontario,15831,0.0082,
BG,,"Summit Trail Advisors, LLC",15735,0.0081,
BG,,Y-Intercept (Hong Kong) Ltd,15619,0.0081,
BG,,Oregon Public Employees Retirement System,15516,0.008,
BG,,Pathstone,15482,0.008,
BG,,"Oceanic Investment Management, Ltd.",15214,0.0078,
BG,,Scottish Widows Unit Trust Managers Ltd,15195,0.0078,
BG,,Deka Vermögensmanagement GmbH,15185,0.0078,
BG,,Resolute Capital Asset Partners LLC,15000,0.0077,
BG,,CAPTRUST Financial Advisors,14789,0.0076,
BG,,"QRG Capital Management, Inc.",14639,0.0075,
BG,,Allstate Investments LLC,14617,0.0075,
BG,,Mutual of America Capital Management LLC,14401,0.0074,
BG,,Nomura Investment Management Business Trust,14342,0.0074,
BG,,OP Varainhoito Oy,13633,0.007,
BG,,Oppenheimer Asset Management Inc.,13499,0.007,
BG,,"Cambridge Investment Research Advisors, Inc.",13416,0.0069,
BG,,Public Employees' Retirement Association of CO,13292,0.0069,
BG,,Tolomeo Capital AG,13126,0.0068,
BG,,"Advisors Asset Management, Inc.",13112,0.0068,
BG,,"Wells Fargo Bank, N.A.",13042,0.0067,
BG,,PGIM Quantitative Solutions LLC,13007,0.0067,
BG,,Candriam Luxembourg S.A.,12987,0.0067,
BG,,"Lazard Asset Management, L.L.C.",12812,0.0066,
BG,,National-Bank AG,12734,0.0066,
BG,,ABN AMRO Investment Solutions (AAIS),12699,0.0065,
BG,,Ironhorse Capital LLC,12614,0.0065,
BG,,Rothschild Investment Corporation,12488,0.0064,
BG,,Vident Asset Management,12399,0.0064,
BG,,"Deutsche Wealth Management, S.G.I.I.C., S.A",12185,0.0063,
BG,,"Boothbay Fund Management, LLC",12157,0.0063,
BG,,"Tounjian Advisory Partners, LLC",12152,0.0063,
BG,,"Denali Advisors, LLC",12131,0.0063,
BG,,Pekin Hardy Strauss Wealth Management,12130,0.0063,
BG,,Gradient Investments LLC,12117,0.0062,
BG,,"Jupiter Wealth Management, LLC",12058,0.0062,
BG,,"Carrera Asset Management Co., Ltd.",12000,0.0062,
BG,,BZ Bank AG (Asset Management),12000,0.0062,
BG,,Degroof Petercam Asset Services SA,11926,0.0061,
BG,,NorthCrest Asset Manangement LLC,11856,0.0061,
BG,,National Mutual Funds Management Ltd.,11762,0.0061,
BG,,"Regions Investment Management, Inc.",11586,0.006,
BG,,Desjardins Securities Inc.,11398,0.0059,
BG,,Assenagon Asset Management S.A.,11246,0.0058,
BG,,"NISA Investment Advisors, L.L.C.",11020,0.0057,
BG,,Kentucky Teachers' Retirement System,10774,0.0056,
BG,,Croghan Colonial Bank,10772,0.0056,
BG,,Neuberger Berman Canada ULC,10735,0.0055,
BG,,D.A. Davidson & Co.(Research),10607,0.0055,
BG,,"Wells Fargo Investment Institute, Inc.",10530,0.0054,
BG,,Gulf International Bank (UK) Limited,10477,0.0054,
BG,,Nykredit Bank AS,10433,0.0054,
BG,,"Mutual Advisors, LLC",10404,0.0054,
BG,,Williamson Legacy Group LLC,10372,0.0053,
BG,,"Raymond James Financial Services Advisors, Inc.",10361,0.0053,
BG,,Steadtrust LLC,10341,0.0053,
BG,,BMO Nesbitt Burns Securities Ltd,10005,0.0052,
BG,,INVESCO Asset Management Deutschland GmbH_NLE,9918,0.0051,
