"","Instrument","Company.Common.Name","Deal.Permid","Loan.Dates..Announcement.Date","Loan.Dates..Financial.Close.Date.of.Loan.Package","Maturity..Maturity.Date","Loan.Type","Use.of.Proceeds","Loan.Repayment..Type","Loans.Issuer.Borrower.Ultimate.Parent.Name.Full","Loan.Package.Amount","Number.of.all.Managers..inc..Int.l.Co.Managers","All.Managers..inc..Int.l.Co.Managers..Parent..Full.Name.","All.Managers..inc..Int.l.Co.Managers..Parent..Code.","All.Loans.Manager.Roles","Loan.Manager.Commitment.Amount"
"55",4296555324,"Cargill Inc",154083482740,"2006-11-03","2006-11-03","2007-11-02","364 Day Revolver","Acquisition Finance",NA,"Cargill Inc",4e+09,15,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Manager",266666666.666667
"56",4296555324,"Cargill Inc",154083482741,"2006-11-03","2006-11-03","2011-11-03","Revolving Credit Facility","Refinancing",NA,"Cargill Inc",4e+09,7,"KBC Group NV","KBC-GROUP","Manager",571428571.428571
"57",4296555324,"Cargill Inc",154083489266,"2011-09-20","2011-10-28","2012-10-28","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",5e+09,38,"Cooperatieve Rabobank UA","RABOBANK","Manager",131578947.368421
"58",4296555324,"Cargill Inc",154083489538,"2011-09-20","2011-10-28","2016-10-28","Revolving Credit Facility","Future Acquisitions","Bullet","Cargill Inc",5e+09,10,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Manager",5e+08
"59",4296555324,"Cargill Inc",154083494550,"2010-09-29","2010-10-29","2011-10-28","364 Day Revolver","Future Acquisitions","Bullet","Cargill Inc",5e+09,6,"NatWest","NATWEST-GRP","Manager",833333333.333333
"60",4296555324,"Cargill Inc",154083494551,"2010-09-29","2010-10-29","2013-10-29","Revolving Credit Facility","Refinance/Retiring Bank Debt","Bullet","Cargill Inc",5e+09,25,"CIBC World Markets Inc","CIBC-WORLD","Sub-Underwriter",2e+08
"61",4296555324,"Cargill Inc",154083509331,"2007-04-12","2007-04-12","2012-04-12","Revolving Credit Facility","Refinance/Retiring Bank Debt",NA,"Cargill Inc",9.5e+07,3,"NatWest","NATWEST-GRP","Arranger",31666666.6666667
"62",4296555324,"Cargill Inc",154083509332,"2007-04-12","2007-04-12","2013-04-12","Term Loan B","General Corporate Purpose",NA,"Cargill Inc",9.5e+07,14,"Barclays","BARCLAYS-CAP","Arranger",6785714.28571429
"63",4296555324,"Cargill Inc",154083511961,"2008-10-31","2008-10-31","2009-10-31","Revolving Credit Facility","Standby/CP Support",NA,"Cargill Inc",1.5e+09,6,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Co-Arranger",2.5e+08
"64",4296555324,"Cargill Inc",154083514848,"2012-02-13","2012-03-22","2013-03-21","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",1.25e+09,25,"UBS","UBS-BANK","Co-Arranger",5e+07
