Instrument,Company Common Name,Deal Permid,Loan Dates: Announcement Date,Loan Dates: Financial Close Date of Loan Package,Maturity: Maturity Date,Loan Type,Use of Proceeds,Loan Repayment: Type,Loans Issuer/Borrower Ultimate Parent Name Full,Loan Package Amount,"Number of all Managers, inc. Int'l Co-Managers","All Managers, inc. Int'l Co-Managers, Parent (Full Name)","All Managers, inc. Int'l Co-Managers, Parent (Code)",All Loans Manager Roles,Loan Manager Commitment Amount
4295880516,,154083575738,2013-12-16,2013-12-16,2016-12-16,Letter Of Credit,Refinance/Retiring Bank Debt,,Itochu Corp,33750000.0,1,Japan Bank For International Cooperation,JBFIC,Provider,0.0
4295880516,,154083575739,2013-12-16,2013-12-16,2016-12-16,Term Loan,Renewable Energy,,Itochu Corp,33750000.0,6,Citi,CITI,Arranger,0.0
4295880516,,154083576254,2014-02-26,2014-03-10,2017-03-20,Term Loan,Project Finance,,ISUZU MOTORS LTD,81355932.2033898,4,Japan Bank For International Cooperation,JBFIC,Provider,0.0
4295880516,,154083577987,2013-09-20,2013-09-30,2024-03-31,Term Loan,Renewable Energy,,Itochu Corp,305467874.961817,2,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Co-Arranger,0.0
4295880516,,154083581720,2013-03-01,2013-03-26,2023-09-30,Term Loan,Project Finance,,Itochu Corp,80000000.0,7,Portigon AG,PORTIGON,Co-Arranger,0.0
4295880516,,154083582862,2013-03-01,2013-03-26,2016-03-24,Term Loan,General Corporate Purpose,,Itochu Corp,150000000.0,5,Korea Long Term Credit Bank,KLB,Lead Manager,0.0
4295880516,,154083586073,2013-12-23,2013-12-23,2041-12-23,Term Loan,Project Finance,,Suez SA,485560334.25455,3,Sumitomo Mitsui Trust Holdings Inc,SUM-MIT-TR-HLDG,Lead Manager,0.0
4295880516,,154083586074,2013-12-23,2013-12-23,2016-12-23,Bridge Loan,General Corporate Purpose,,Suez SA,485560334.25455,6,Sumitomo Mitsui Trust Holdings Inc,SUM-MIT-TR-HLDG,Lead Manager,0.0
4295880516,,154083586075,2013-12-23,2013-12-23,2041-12-23,Standby Letter Of Credit,Project Finance,,Suez SA,485560334.25455,9,Bankgesellschaft Berlin AG,B-BERLIN,Senior Co-Lead Manager,0.0
4295880516,,154083587216,2014-06-17,2014-06-27,2019-06-27,Revolving Credit Facility,General Corporate Purpose,,Itochu Corp,3453038674.03315,2,Lloyds Bank,LLOYDS-PLC,Senior Co-Lead Manager,0.0
