investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
"Class VI Family Office, LLC",AGCO Corp,99,1.00E-04,11278.08
"ClearBridge Investments, LLC",AGCO Corp,46564,0.0643,5304570.88
Clearstead Advisors LLC,AGCO Corp,20,0,2278.4
Clearstead Trust LLC,AGCO Corp,33,0,3759.36
"Cohen & Steers Capital Management, Inc.",AGCO Corp,115880,0.16,13201049.6
"Coldstream Capital Management, Inc.",AGCO Corp,2897,0.004,330026.24
Collins (James C Jr),AGCO Corp,1673,0.0023,190588.16
Columbia Threadneedle,AGCO Corp,295075,0.4075,33614944
"Comerica, Inc.",AGCO Corp,53660,0.0741,6112947.2
"Commerce Investment Advisors, Inc.",AGCO Corp,3815,0.0053,434604.8
Commonwealth Financial Network,AGCO Corp,5645,0.0078,643078.4
"Community Bank, N.A.",AGCO Corp,100,1.00E-04,11392
"Connor, Clark & Lunn Investment Management Ltd.",AGCO Corp,3192,0.0044,363632.64
Controlfida (Suisse) SA,AGCO Corp,312,4.00E-04,35543.04
CooksonPeirce Wealth Management,AGCO Corp,7824,0.0108,891310.08
"CoreCommodity Management, LLC",AGCO Corp,15639,0.0216,1781594.88
Corecap Advisors Inc,AGCO Corp,82,1.00E-04,9341.44
Corient IA LLC,AGCO Corp,2660,0.0037,303027.2
Corient Private Wealth LLC,AGCO Corp,81540,0.1126,9289036.8
Covalis Capital LLP,AGCO Corp,17449,0.0241,1987790.08
"Covestor, Ltd.",AGCO Corp,392,5.00E-04,44656.64
"Creative Planning, LLC",AGCO Corp,13311,0.0184,1516389.12
Crestwood Advisors Group LLC,AGCO Corp,2444,0.0034,278420.48
Cromwell Holdings LLC,AGCO Corp,8,0,911.36
"Crossmark Global Investments, Inc",AGCO Corp,57914,0.08,6597562.88
"D. E. Shaw & Co., L.P.",AGCO Corp,3203,0.0044,364885.76
DBX Advisors LLC.,AGCO Corp,562,8.00E-04,64023.04
DFA Australia Ltd.,AGCO Corp,11251,0.0155,1281713.92
"DHJJ Financial Advisors, Ltd.",AGCO Corp,14,0,1594.88
DJE Kapital AG,AGCO Corp,14000,0.0193,1594880
DNB Asset Management AS,AGCO Corp,3078,0.0043,350645.76
"DUX Inversores, SGIIC, S.A.",AGCO Corp,950,0.0013,108224
"DV Equities, LLC",AGCO Corp,1,0,113.92
DWS International GmbH,AGCO Corp,1143,0.0016,130210.56
DWS Investment GmbH,AGCO Corp,138195,0.1909,15743174.4
DWS Investments UK Limited,AGCO Corp,6037,0.0083,687735.04
DZ Bank AG Deutsche Zentral-Genossenschaftsbank,AGCO Corp,2621,0.0036,298584.32
DZ Privatbank (Schweiz) AG,AGCO Corp,48556,0.0671,5531499.52
"Daiwa Asset Management Co., Ltd.",AGCO Corp,6150,0.0085,700608
Dakota Wealth Management,AGCO Corp,4025,0.0056,458528
"Davis Selected Advisers, L.P.",AGCO Corp,2086643,2.8818,237710370.6
De Lange (Bob),AGCO Corp,17717,0.0245,2018320.64
"DeRoy & Devereaux Private Investment Counsel, Inc.",AGCO Corp,51026,0.0705,5812881.92
"Dean Capital Management, LLC",AGCO Corp,17746,0.0245,2021624.32
"Dean Investment Associates, LLC",AGCO Corp,35054,0.0484,3993351.68
Dehner (Torsten Rudolf Willi),AGCO Corp,39212,0.0542,4467031.04
Deka Investment GmbH,AGCO Corp,947132,1.308,107897277.4
Deka Vermögensmanagement GmbH,AGCO Corp,48078,0.0664,5477045.76
"Delta Asset Management, LLC",AGCO Corp,202,3.00E-04,23011.84
Denkapparat Operations Gmbh,AGCO Corp,4352,0.006,495779.84
Deseret Mutual Benefit Administrators,AGCO Corp,429,6.00E-04,48871.68
Desjardins Global Asset Management,AGCO Corp,3763,0.0052,428680.96
Desjardins Securities Inc.,AGCO Corp,999,0.0014,113806.08
Deutsche Asset Management Americas,AGCO Corp,524,7.00E-04,59694.08
"DiNuzzo Private Wealth, Inc.",AGCO Corp,17,0,1936.64
Dimensional Fund Advisors Canada ULC,AGCO Corp,945,0.0013,107654.4
"Dimensional Fund Advisors, L.P.",AGCO Corp,3537474,4.8854,402989038.1
"Dimensional Fund Advisors, Ltd.",AGCO Corp,147731,0.204,16829515.52
Diversified Trust Company,AGCO Corp,4701,0.0065,535537.92
DoubleLine Capital LP,AGCO Corp,594,8.00E-04,67668.48
