investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
"Bruce G. Allen Investments, LLC",Deere & Co,221,1.00E-04,132288.39
"Bryn Mawr Trust Advisors, LLC",Deere & Co,950,4.00E-04,568660.5
Bryn Mawr Trust Company,Deere & Co,18181,0.0067,10882964.79
Buffalo Business & Estate Services Ltd,Deere & Co,579,2.00E-04,346583.61
"Burford Brothers, Inc.",Deere & Co,441,2.00E-04,263978.19
Burk Holdings LLC,Deere & Co,18,0,10774.62
Burke & Herbert Bank & Trust Co.,Deere & Co,1722,6.00E-04,1030771.98
"Burkett Financial Services, LLC",Deere & Co,305,1.00E-04,182569.95
"Burling Wealth Partners, LLC",Deere & Co,514,2.00E-04,307675.26
Burns & Levinson Asset Management LLC,Deere & Co,2170,8.00E-04,1298940.3
"Busey Wealth Management, Inc.",Deere & Co,7091,0.0026,4244601.69
"Buy & Hold Capital, SGIIC S.A.",Deere & Co,10821,0.004,6477342.39
Byrne Asset Management LLC,Deere & Co,2409,9.00E-04,1442003.31
Bâloise Asset Management,Deere & Co,272,1.00E-04,162816.48
CA Indosuez (Switzerland) S.A.,Deere & Co,26,0,15563.34
CAPTRUST Financial Advisors,Deere & Co,74193,0.0275,44411187.87
"CBIZ Investment Advisory Services, LLC",Deere & Co,4,0,2394.36
CCLA Investment Management Ltd.,Deere & Co,205327,0.0761,122906688.9
"CDM Financial Counseling Services, Inc.",Deere & Co,831,3.00E-04,497428.29
"CFO Capital Management, LLC.",Deere & Co,1817,7.00E-04,1087638.03
"CFS Investment Advisory Services, LLC",Deere & Co,448,2.00E-04,268168.32
CG Advisory Services,Deere & Co,2267,8.00E-04,1357003.53
CGC Financial Services LLC,Deere & Co,414,2.00E-04,247816.26
"CGN Advisors, LLC",Deere & Co,426,2.00E-04,254999.34
CI Global Asset Management,Deere & Co,937,3.00E-04,560878.83
CIBC Asset Management Inc.,Deere & Co,61867,0.0229,37032967.53
"CIBC Private Wealth Advisors, Inc.",Deere & Co,70107,0.026,41965349.13
CIBC World Markets Corp.,Deere & Co,35160,0.013,21046424.4
CIBC World Markets Inc.,Deere & Co,75234,0.0279,45034320.06
"CIGNA Investments, Inc.",Deere & Co,2347,9.00E-04,1404890.73
CIM Investment Management Inc.,Deere & Co,2127,8.00E-04,1273200.93
"CM Wealth Advisors, LLC",Deere & Co,723,3.00E-04,432780.57
CMG Wealth Management,Deere & Co,372,1.00E-04,222675.48
"CMH Wealth Management, LLC",Deere & Co,4943,0.0018,2958830.37
"COFG Advisors, LLC",Deere & Co,514,2.00E-04,307675.26
"CORDA Investment Management, LLC",Deere & Co,90016,0.0333,53882677.44
CPP Investments,Deere & Co,200455,0.0743,119990358.5
CPR Asset Management,Deere & Co,32881,0.0122,19682237.79
CPS Investment Advisors,Deere & Co,1018,4.00E-04,609364.62
"CRA Financial Services, L.L.C.",Deere & Co,1184,4.00E-04,708730.56
CSOP Asset Management Limited,Deere & Co,361,1.00E-04,216090.99
"CVFG,LLC",Deere & Co,404,1.00E-04,241830.36
"CW Advisors, LLC",Deere & Co,10309,0.0038,6170864.31
CWB Wealth Management,Deere & Co,300,1.00E-04,179577
CWB Wealth Partners Ltd,Deere & Co,4100,0.0015,2454219
"CWS Financial Advisors, L.L.C.",Deere & Co,356,1.00E-04,213098.04
"CX Institutional, L.L.C.",Deere & Co,3252,0.0012,1946614.68
"Cache Advisors, LLC",Deere & Co,35,0,20950.65
Cadence Bank,Deere & Co,2940,0.0011,1759854.6
"Cadent Capital Advisors, LLC",Deere & Co,1472,5.00E-04,881124.48
"Cadinha & Co., L.L.C.",Deere & Co,387,1.00E-04,231654.33
"Cahaba Wealth Management, Inc.",Deere & Co,907,3.00E-04,542921.13
"Cahill Financial Advisors, Inc.",Deere & Co,2089,8.00E-04,1250454.51
Caisse de Depot et Placement du Quebec,Deere & Co,131988,0.0489,79006696.92
"Caitong International Asset Management Co., Ltd.",Deere & Co,1128,4.00E-04,675209.52
"Caixabank Asset Management SGIIC, S.A.U.",Deere & Co,172909,0.0641,103501598.3
Calamos Advisors LLC,Deere & Co,101856,0.0377,60969983.04
"Caldwell Sutter Capital, Inc",Deere & Co,272,1.00E-04,162816.48
Caldwell Trust Company,Deere & Co,3239,0.0012,1938833.01
California Public Employees' Retirement System,Deere & Co,851611,0.3155,509765828.5
California State Teachers Retirement System,Deere & Co,387359,0.1435,231869223.8
"Callan Capital, LLC",Deere & Co,770,3.00E-04,460914.3
"Callan Family Office, LLC",Deere & Co,6297,0.0023,3769321.23
"Calton & Associates, Inc.",Deere & Co,579,2.00E-04,346583.61
Calvert Research and Management,Deere & Co,59612,0.0221,35683147.08
"Cambient Family Office, LLC.",Deere & Co,16630,0.0062,9954551.7
"Cambria Investment Management, L.P.",Deere & Co,1216,5.00E-04,727885.44
Cambridge Advisors Inc.,Deere & Co,566,2.00E-04,338801.94
"Cambridge Investment Research Advisors, Inc.",Deere & Co,70764,0.0262,42358622.76
"Camden Capital, LLC",Deere & Co,956,4.00E-04,572252.04
Camden National Bank,Deere & Co,23880,0.0088,14294329.2
"Campbell & Company, Inc.",Deere & Co,2292,8.00E-04,1371968.28
Campbell (Ryan David),Deere & Co,22652,0.0084,13559260.68
"Campbell Newman Asset Management, Inc.",Deere & Co,830,3.00E-04,496829.7
Canada Life Investment Management Ltd,Deere & Co,8,0,4788.72
Canada Post Corporation Registered Pension Plan,Deere & Co,6160,0.0023,3687314.4
"Canal Capital Management, LLC",Deere & Co,683,3.00E-04,408836.97
Canandaigua National Bank & Trust Company,Deere & Co,7188,0.0027,4302664.92
"Candace Shira Associates, LLC",Deere & Co,3075,0.0011,1840664.25
Candriam Belgium S.A.,Deere & Co,48419,0.0179,28983129.21
Candriam Luxembourg S.A.,Deere & Co,42104,0.0156,25203033.36
"Cane Capital Partners, LLC",Deere & Co,3251,0.0012,1946016.09
Cannell & Spears LLC,Deere & Co,15250,0.0056,9128497.5
Canoe Financial LP,Deere & Co,178617,0.0662,106918350
Canopy Partners LLC,Deere & Co,1486,6.00E-04,889504.74
"Canvas Wealth Advisors, LLC",Deere & Co,450,2.00E-04,269365.5
Cape Ann Savings Bank,Deere & Co,2538,9.00E-04,1519221.42
Cape Cod Five Cents Savings Bank,Deere & Co,1606,6.00E-04,961335.54
"Cape Investment Advisory, Inc.",Deere & Co,720,3.00E-04,430984.8
Capfi Delen Asset Management,Deere & Co,317283,0.1175,189922431
"Capital Advisors, Inc. (OK)",Deere & Co,572,2.00E-04,342393.48
"Capital Advisors, Ltd., LLC",Deere & Co,559,2.00E-04,334611.81
"Capital Analysts, LLC",Deere & Co,2803,0.001,1677847.77
"Capital Asset Managemnet, LLC",Deere & Co,370,1.00E-04,221478.3
Capital Fund Management S.A.,Deere & Co,10368,0.0038,6206181.12
Capital Group Investment Management Pte.Ltd.,Deere & Co,9768,0.0036,5847027.12
"Capital Group Private Client Services, Inc.",Deere & Co,81556,0.0302,48818606.04
Capital International Investors,Deere & Co,1703509,0.6311,1019703452
Capital International Ltd.,Deere & Co,47383,0.0176,28362989.97
Capital International Management Company SARL,Deere & Co,219389,0.0813,131324061.5
Capital International Sarl,Deere & Co,95506,0.0354,57168936.54
"Capital International, Inc.",Deere & Co,150505,0.0558,90090787.95
"Capital Investment Advisors, LLC",Deere & Co,11829,0.0044,7080721.11
"Capital Investment Advisory Services, LLC",Deere & Co,1875,7.00E-04,1122356.25
"Capital Investment Counsel, Inc.",Deere & Co,1245,5.00E-04,745244.55
"Capital Investment Counsel, LLC",Deere & Co,15514,0.0057,9286525.26
Capital Performance Advisors LLP,Deere & Co,378,1.00E-04,226267.02
"Capital Planning Advisors, LLC",Deere & Co,4516,0.0017,2703232.44
Capital Research Global Investors,Deere & Co,139849,0.0518,83712212.91
"Capital Wealth Advisors, Inc",Deere & Co,23723,0.0088,14200350.57
"Capital Wealth Planning, LLC",Deere & Co,575,2.00E-04,344189.25
Capital World Investors,Deere & Co,12272894,4.5466,7346431619
CapitalatWork - Foyer Group,Deere & Co,73086,0.0271,43748548.74
CapitalatWork S.A.,Deere & Co,81416,0.0302,48734803.44
"Capstone Investment Advisors, LLC",Deere & Co,5203,0.0019,3114463.77
Capula Investment Management LLP,Deere & Co,2060,8.00E-04,1233095.4
Cardano Asset Management NV,Deere & Co,87063,0.0323,52115041.17
"Cardiff Park Advisors, LLC",Deere & Co,1481,5.00E-04,886511.79
Cardinal Capital Management Inc,Deere & Co,27875,0.0103,16685696.25
Caret (Leanne G),Deere & Co,2090,8.00E-04,1251053.1
Carl von Rohrer Vermögensverwaltungs GmbH & Co. KG,Deere & Co,400,1.00E-04,239436
"Carlson Capital Management, LLC",Deere & Co,625,2.00E-04,374118.75
Carlson Investments,Deere & Co,680,3.00E-04,407041.2
"Carlton Hofferkamp & Jenks Wealth Management, LLC",Deere & Co,408,2.00E-04,244224.72
Carmichael Hill & Associates Inc,Deere & Co,526,2.00E-04,314858.34
Carne Global Fund Managers (Ireland) Limited,Deere & Co,14432,0.0053,8638850.88
Carne Global Fund Managers (Luxembourg) S.A.,Deere & Co,2460,9.00E-04,1472531.4
Carnegie Fonder AB,Deere & Co,17300,0.0064,10355607
Carnegie Investment Bank AB,Deere & Co,8990,0.0033,5381324.1
Carnegie Investment Counsel,Deere & Co,25470,0.0094,15246087.3
Carr Financial Group Corp,Deere & Co,694,3.00E-04,415421.46
"Carrera Asset Management Co., Ltd.",Deere & Co,2500,9.00E-04,1496475
"Carret Asset Management, LLC",Deere & Co,6646,0.0025,3978229.14
Carson Advisory Group,Deere & Co,405,2.00E-04,242428.95
Carson Wealth Management Group,Deere & Co,21606,0.008,12933135.54
Cary Street Partners Financial LLC,Deere & Co,10081,0.0037,6034385.79
Cary Street Partners Investment Advisory LLC,Deere & Co,1045,4.00E-04,625526.55
"Cascade Investment, L.L.C.",Deere & Co,19771964,7.3246,11835299931
Cassaday & Co Wealth Management LLC,Deere & Co,1716,6.00E-04,1027180.44
"Cassady Schiller Wealth Management, LLC",Deere & Co,67,0,40105.53
CastleKeep Investment Advisors LLC,Deere & Co,1892,7.00E-04,1132532.28
Castlefield Investments,Deere & Co,9646,0.0036,5773999.14
"Castleview Partners, LLC",Deere & Co,467,2.00E-04,279541.53
Catalyst Financial Partners LLC,Deere & Co,1612,6.00E-04,964927.08
Catalyst Funds Management Pty Ltd,Deere & Co,1338,5.00E-04,800913.42
Catalyst Investment Management LLC,Deere & Co,977,4.00E-04,584822.43
"Catalytic Wealth RIA, LLC",Deere & Co,2415,9.00E-04,1445594.85
"Cathay Securities Investment Trust Co., Ltd.",Deere & Co,157,1.00E-04,93978.63
Cazenove Capital Management Limited,Deere & Co,5206,0.0019,3116259.54
"Cedar Mountain Advisors, LLC",Deere & Co,32,0,19154.88
"Cedar Point Capital Partners, LLC",Deere & Co,1738,6.00E-04,1040349.42
Cedrus Wealth Group LLC,Deere & Co,541,2.00E-04,323837.19
"Centaurus Financial, Inc.",Deere & Co,2245,8.00E-04,1343834.55
Centennial Bank,Deere & Co,24,0,14366.16
"Center for Financial Planning, Inc.",Deere & Co,76,0,45492.84
"Centerpoint Advisors, LLC",Deere & Co,31,0,18556.29
"Centerpoint Advisory Group, LLC",Deere & Co,613,2.00E-04,366935.67
Central Bank & Trust Company,Deere & Co,5584,0.0021,3342526.56
Central Pacific Bank - Trust Division,Deere & Co,5900,0.0022,3531681
Central Trust & Investment Company,Deere & Co,12394,0.0046,7418924.46
Centurion Wealth Management LLC,Deere & Co,380,1.00E-04,227464.2
Cerity Partners LLC,Deere & Co,170767,0.0633,102219418.5
Cerro Pacific Wealth Advisors LLC,Deere & Co,2640,0.001,1580277.6
Certified Advisory Corp,Deere & Co,420,2.00E-04,251407.8
Cetera Investment Advisers LLC,Deere & Co,149219,0.0553,89321001.21
Cetera Trust Company NA,Deere & Co,310,1.00E-04,185562.9
Chancellor Financial Group WB LP,Deere & Co,2089,8.00E-04,1250454.51
"Chang Xin Asset Management Co., Ltd.",Deere & Co,1201,4.00E-04,718906.59
Chapin Davis Asset Management,Deere & Co,1453,5.00E-04,869751.27
"Chapman Financial Group, LLC",Deere & Co,1042,4.00E-04,623730.78
"Charles Schwab Investment Management, Inc.",Deere & Co,1622719,0.6011,971343366.2
Charles Schwab Trust Company,Deere & Co,6155,0.0023,3684321.45
"Charter Oak Capital Management, LLC",Deere & Co,1531,6.00E-04,916441.29
Chatham Wealth Management,Deere & Co,556,2.00E-04,332816.04
"Checchi Capital Advisers, LLC",Deere & Co,2752,0.001,1647319.68
Chelsea Management Company,Deere & Co,150,1.00E-04,89788.5
Chemistry Wealth Management LLC,Deere & Co,3327,0.0012,1991508.93
Cherokee Insurance Company,Deere & Co,500,2.00E-04,299295
Chesapeake Capital Corp,Deere & Co,797,3.00E-04,477076.23
"Chesley, Taft & Associates L.L.C.",Deere & Co,860,3.00E-04,514787.4
"Cheviot Value Management, LLC",Deere & Co,75,0,44894.25
Chevy Chase Trust Company,Deere & Co,127277,0.0472,76186739.43
"Chicago Capital, LLC",Deere & Co,3985,0.0015,2385381.15
Chicago Partners Wealth Advisors,Deere & Co,2145,8.00E-04,1283975.55
Chicory Wealth,Deere & Co,520,2.00E-04,311266.8
"Childress Capital Advisors, LLC",Deere & Co,1601,6.00E-04,958342.59
"Chilton Capital Management, LLC",Deere & Co,8179,0.003,4895867.61
"Chilton Investment Company, Inc",Deere & Co,99472,0.0369,59542944.48
"China Asset Management Co., Ltd.",Deere & Co,2146,8.00E-04,1284574.14
China Southern Asset Management Co. Ltd.,Deere & Co,2800,0.001,1676052
Choate Investment Advisors LLC,Deere & Co,6082,0.0023,3640624.38
"Choreo, LLC",Deere & Co,18662,0.0069,11170886.58
Christian Hintz Vermögensverwaltung GmbH,Deere & Co,230,1.00E-04,137675.7
"Christopher Weil & Company, Inc.",Deere & Co,1120,4.00E-04,670420.8
"Churchill Financial Advisors, LLC",Deere & Co,11167,0.0041,6684454.53
Cicero Fonder AB,Deere & Co,339,1.00E-04,202922.01
Cidel Asset Management Inc.,Deere & Co,2363,9.00E-04,1414468.17
"Circle Wealth Management, LLC",Deere & Co,1965,7.00E-04,1176229.35
Citadel Advisors LLC,Deere & Co,568058,0.2104,340033838.2
Citadel Asset Management,Deere & Co,29146,0.0108,17446504.14
Citi Investment Research (US),Deere & Co,197634,0.0732,118301736.1
Citigroup Global Markets Inc.,Deere & Co,48,0,28732.32
Citizens & Northern Corp,Deere & Co,880,3.00E-04,526759.2
"Citizens Financial Group, Inc.",Deere & Co,14823,0.0055,8872899.57
Citizens National Bank Trust Department,Deere & Co,95,0,56866.05
City Holding Company,Deere & Co,17530,0.0065,10493282.7
"City National Rochdale, LLC",Deere & Co,22770,0.0084,13629894.3
City State Bank,Deere & Co,2726,0.001,1631756.34
Cité Gestion SA,Deere & Co,43,0,25739.37
"Cladis Investment Advisory, LLC",Deere & Co,864,3.00E-04,517181.76
"Clarendon Private, LLC.",Deere & Co,394,1.00E-04,235844.46
"Claris Financial, LLC.",Deere & Co,413,2.00E-04,247217.67
"Clarity Asset Management, Inc.",Deere & Co,350,1.00E-04,209506.5
"Clark Asset Management, LLC",Deere & Co,4043,0.0015,2420099.37
"Clark Capital Management Group, Inc.",Deere & Co,2965,0.0011,1774819.35
"Clark Wealth Partners, LLC",Deere & Co,194,1.00E-04,116126.46
"Clarus Group, Inc.",Deere & Co,383,1.00E-04,229259.97
"Class VI Family Office, LLC",Deere & Co,764,3.00E-04,457322.76
Clayton Financial Group LLC,Deere & Co,294,1.00E-04,175985.46
Clean Yield Asset Management,Deere & Co,33,0,19753.47
"Clear Creek Financial Management, LLC",Deere & Co,1117,4.00E-04,668625.03
"Clear Harbor Asset Management, LLC",Deere & Co,4055,0.0015,2427282.45
Clear Street Markets LLC,Deere & Co,42,0,25140.78
ClearBridge Investment Management Limited,Deere & Co,507,2.00E-04,303485.13
"ClearBridge Investments, LLC",Deere & Co,252680,0.0936,151251721.2
Clearstead Advisors LLC,Deere & Co,17129,0.0063,10253248.11
Clearstead Trust LLC,Deere & Co,7969,0.003,4770163.71
Clearview Wealth Advisors LLC,Deere & Co,678,3.00E-04,405844.02
"Clearwave Capital, LLC",Deere & Co,2802,0.001,1677249.18
Clifford Swan Investment Counselors,Deere & Co,6030,0.0022,3609497.7
"Coastal Bridge Advisors, LLC",Deere & Co,699,3.00E-04,418414.41
"Coastal Equity Management, LLC",Deere & Co,194,1.00E-04,116126.46
"Coastline Trust Company, N.A.",Deere & Co,4215,0.0016,2523056.85
"Cobblestone Capital Advisors, LLC",Deere & Co,2091,8.00E-04,1251651.69
CogentBlue Wealth Advisors LLC,Deere & Co,533,2.00E-04,319048.47
"Cohen & Steers Capital Management, Inc.",Deere & Co,1213,4.00E-04,726089.67
"Cohen Capital Management, Inc.",Deere & Co,33394,0.0124,19989314.46
"Cohen Klingenstein, LLC",Deere & Co,6000,0.0022,3591540
"Coinbase Asset Management, LLC",Deere & Co,111,0,66443.49
"Coldstream Capital Management, Inc.",Deere & Co,15144,0.0056,9065046.96
"Collective Family Office, LLC",Deere & Co,720,3.00E-04,430984.8
"Colonial Trust Advisors, Inc.",Deere & Co,16915,0.0063,10125149.85
Colonial Trust Co / SC,Deere & Co,3639,0.0013,2178269.01
Colorado Financial Management LLC,Deere & Co,102,0,61056.18
"Columbia Asset Management, L.L.C.",Deere & Co,8001,0.003,4789318.59
Columbia Threadneedle,Deere & Co,421758,0.1562,252460121.2
"Comerica, Inc.",Deere & Co,45328,0.0168,27132887.52
Commerzbank AG,Deere & Co,3404,0.0013,2037600.36
Commonwealth Financial Network,Deere & Co,146397,0.0542,87631780.23
Community Bank & Trust,Deere & Co,2890,0.0011,1729925.1
Community Bank of Raymore,Deere & Co,513,2.00E-04,307076.67
"Community Bank, N.A.",Deere & Co,4336,0.0016,2595486.24
"Community Financial Services Group, LLC",Deere & Co,818,3.00E-04,489646.62
Compagnie Lombard Odier SCmA,Deere & Co,26739,0.0099,16005698.01
Compass Capital Corp,Deere & Co,1863,7.00E-04,1115173.17
"Compass Capital Management, Inc.",Deere & Co,19652,0.0073,11763490.68
"Compass Financial Services, Inc.",Deere & Co,881,3.00E-04,527357.79
Compass Ion Advisors LLC,Deere & Co,391,1.00E-04,234048.69
"Comprehensive Financial Consultants Institutional, Inc.",Deere & Co,584,2.00E-04,349576.56
Concentus Wealth Advisors,Deere & Co,530,2.00E-04,317252.7
Concord Wealth Partners,Deere & Co,401,1.00E-04,240034.59
"Concorde Asset Management, LLC",Deere & Co,564,2.00E-04,337604.76
"Concurrent Investment Advisors, LLC",Deere & Co,12753,0.0047,7633818.27
Confluence Financial Partners,Deere & Co,9882,0.0037,5915266.38
"Congress Asset Management Company, LLP",Deere & Co,696,3.00E-04,416618.64
"Connecticut Wealth Management, LLC",Deere & Co,1527,6.00E-04,914046.93
"Conning, Inc.",Deere & Co,1155,4.00E-04,691371.45
"Connor, Clark & Lunn Investment Management Ltd.",Deere & Co,17261,0.0064,10332261.99
"Conservest Capital Advisors, Inc.",Deere & Co,548,2.00E-04,328027.32
Consilium Wealth Advisory LLC,Deere & Co,874,3.00E-04,523167.66
Consolidated Planning Corporation,Deere & Co,504,2.00E-04,301689.36
Constitution Investment Advisory and Portfolio Management,Deere & Co,1000,4.00E-04,598590
"Consultiva Wealth Management, Corp",Deere & Co,100,0,59859
"Continental Investors Services, Inc.",Deere & Co,370,1.00E-04,221478.3
Controlfida (Suisse) SA,Deere & Co,1719,6.00E-04,1028976.21
"Convergence Financial, LLC",Deere & Co,3752,0.0014,2245909.68
Coons Advisors,Deere & Co,400,1.00E-04,239436
Cooper Financial Group,Deere & Co,1263,5.00E-04,756019.17
Copia Wealth Management,Deere & Co,329,1.00E-04,196936.11
"Core Alternative Capital, LLC",Deere & Co,500,2.00E-04,299295
"CoreCommodity Management, LLC",Deere & Co,4992,0.0018,2988161.28
CoreFirst Bank & Trust,Deere & Co,687,3.00E-04,411231.33
Corecap Advisors Inc,Deere & Co,1393,5.00E-04,833835.87
"Corgi Strategies, LLC",Deere & Co,114,0,68239.26
Corient IA LLC,Deere & Co,810,3.00E-04,484857.9
Corient Private Wealth LLC,Deere & Co,647766,0.24,387746249.9
Corion Capital (Pty) Ltd,Deere & Co,182,1.00E-04,108943.38
"Cornell Pochily Investment Advisors, Inc.",Deere & Co,3632,0.0013,2174078.88
"Cornerstone Advisors, Inc. (NC)",Deere & Co,33886,0.0126,20283820.74
"Cornerstone Advisory, LLC",Deere & Co,812,3.00E-04,486055.08
"Cornerstone Capital, Inc.",Deere & Co,501,2.00E-04,299893.59
Cornerstone Financial Management LLC,Deere & Co,29,0,17359.11
Cornerstone National Bank & Trust Co,Deere & Co,59,0,35316.81
Cornerstone Planning Group LLC,Deere & Co,74,0,44295.66
"Cornerstone Wealth Group, LLC",Deere & Co,2660,0.001,1592249.4
Cornerstone Wealth Management,Deere & Co,173,1.00E-04,103556.07
"Cornerstone Wealth Management, LLC",Deere & Co,3977,0.0015,2380592.43
Corsicana & Co,Deere & Co,10,0,5985.9
"Cortland Associates, Inc.",Deere & Co,606,2.00E-04,362745.54
"Costello Asset Management, Inc.",Deere & Co,314,1.00E-04,187957.26
"Coston, McIsaac & Shea Financial Advisors",Deere & Co,273,1.00E-04,163415.07
"Cottonwood Wealth Strategies, LLC",Deere & Co,2235,8.00E-04,1337848.65
Country Club Bank,Deere & Co,2415,9.00E-04,1445594.85
Country Trust Bank,Deere & Co,1361,5.00E-04,814680.99
"Courier Capital, LLC",Deere & Co,842,3.00E-04,504012.78
"Court Place Advisors, LLC",Deere & Co,2871,0.0011,1718551.89
"Cove Private Wealth, LLC",Deere & Co,3423,0.0013,2048973.57
"Covestor, Ltd.",Deere & Co,1225,5.00E-04,733272.75
Covéa Finance S.A.S.,Deere & Co,10243,0.0038,6131357.37
"Cozad Asset Management, Inc.",Deere & Co,1937,7.00E-04,1159468.83
"Cranbrook Wealth Management, LLC",Deere & Co,995,4.00E-04,595597.05
"Crawford Investment Counsel, Inc.",Deere & Co,4800,0.0018,2873232
Creative Capital Management Investments LLC,Deere & Co,45,0,26936.55
"Creative Financial Designs, Inc.",Deere & Co,185,1.00E-04,110739.15
"Creative Planning, LLC",Deere & Co,104065,0.0386,62292268.35
"CreativeOne Wealth, LLC",Deere & Co,11601,0.0043,6944242.59
Credit Industriel et Commercial SA,Deere & Co,159,1.00E-04,95175.81
Credit Mutuel Asset Management,Deere & Co,13070,0.0048,7823571.3
"Creegan & Nassoura Financial Group, LLC",Deere & Co,5518,0.002,3303019.62
Creekside Partners,Deere & Co,998,4.00E-04,597392.82
"Cresset Asset Management, LLC",Deere & Co,49111,0.0182,29397353.49
Crestwood Advisors Group LLC,Deere & Co,4048,0.0015,2423092.32
"Creutz & Partners, Global Asset Management S.A.",Deere & Co,5000,0.0019,2992950
Crew Capital Management Ltd.,Deere & Co,736,3.00E-04,440562.24
Crewe Advisors LLC,Deere & Co,51,0,30528.09
Crews Bank & Trust,Deere & Co,3358,0.0012,2010065.22
Cromwell Holdings LLC,Deere & Co,773,3.00E-04,462710.07
"Crossmark Global Investments, Inc",Deere & Co,14420,0.0053,8631667.8
"Crown Oak Advisors, LLC.",Deere & Co,24262,0.009,14522990.58
"Crux Wealth Advisors, LLC",Deere & Co,652,2.00E-04,390280.68
Crédit Agricole Corporate and Investment Bank,Deere & Co,65915,0.0244,39456059.85
"Csenge Advisory Group, LLC",Deere & Co,5463,0.002,3270097.17
Cullen Investment Group Ltd,Deere & Co,21533,0.008,12889438.47
"Cullinan Associates, Inc.",Deere & Co,20804,0.0077,12453066.36
"Cultivar Capital, Inc.",Deere & Co,400,1.00E-04,239436
Cumberland Private Wealth Management Inc.,Deere & Co,5551,0.0021,3322773.09
Curat Global LLC,Deere & Co,50,0,29929.5
Curbstone Financial Management Corporation,Deere & Co,1038,4.00E-04,621336.42
"Curi Capital, LLC",Deere & Co,6316,0.0023,3780694.44
Curio Wealth LLC,Deere & Co,1,0,598.59
Cutler Investment Group LLC,Deere & Co,32350,0.012,19364386.5
"Cypress Asset Management, Inc.",Deere & Co,5610,0.0021,3358089.9
"Cypress Capital Group, Inc.",Deere & Co,1906,7.00E-04,1140912.54
Cypress Wealth Services LLC,Deere & Co,1828,7.00E-04,1094222.52
Czech National Bank,Deere & Co,68658,0.0254,41097992.22
"D'Orazio & Associates, Inc.",Deere & Co,439,2.00E-04,262781.01
"D. B. Fitzpatrick & Company, Inc.",Deere & Co,2185,8.00E-04,1307919.15
"D. E. Shaw & Co., L.P.",Deere & Co,180665,0.0669,108144262.4
D.A. Davidson & Co.(Research),Deere & Co,80570,0.0298,48228396.3
DB Asset Management Co Ltd.,Deere & Co,105,0,62851.95
DBX Advisors LLC.,Deere & Co,44775,0.0166,26801867.25
DFA Australia Ltd.,Deere & Co,21800,0.0081,13049262
"DGS Capital Management, LLC",Deere & Co,659,2.00E-04,394470.81
"DHJJ Financial Advisors, Ltd.",Deere & Co,245,1.00E-04,146654.55
DJE Kapital AG,Deere & Co,31111,0.0115,18622733.49
"DLK Investment Management, LLC",Deere & Co,8352,0.0031,4999423.68
"DMKC Advisory Services, LLC",Deere & Co,14233,0.0053,8519731.47
DNB Asset Management AS,Deere & Co,121330,0.0449,72626924.7
DNCA Investments,Deere & Co,41349,0.0153,24751097.91
"DRW Securities, LLC",Deere & Co,2160,8.00E-04,1292954.4
"DT Investment Partners, LLC",Deere & Co,420,2.00E-04,251407.8
"DV Equities, LLC",Deere & Co,350,1.00E-04,209506.5
DV Trading LLC,Deere & Co,440,2.00E-04,263379.6
DWS CH AG,Deere & Co,4326,0.0016,2589500.34
DWS International GmbH,Deere & Co,90305,0.0335,54055669.95
DWS Investment GmbH,Deere & Co,45688,0.0169,27348379.92
"DWS Investment Management Americas, Inc.",Deere & Co,36615,0.0136,21917372.85
DWS Investments Hong Kong Limited,Deere & Co,12343,0.0046,7388396.37
DWS Investments UK Limited,Deere & Co,430630,0.1595,257770811.7
DZ Bank AG Deutsche Zentral-Genossenschaftsbank,Deere & Co,15266,0.0057,9138074.94
DZ Privatbank (Schweiz) AG,Deere & Co,830,3.00E-04,496829.7
"Dacheng Fund Management Co., Ltd.",Deere & Co,427,2.00E-04,255597.93
Daiwa Asset Management (America) Ltd.,Deere & Co,8,0,4788.72
Daiwa Asset Management (Singapore) Ltd.,Deere & Co,9303,0.0034,5568682.77
"Daiwa Asset Management Co., Ltd.",Deere & Co,46553,0.0172,27866160.27
Dakota Wealth Management,Deere & Co,25515,0.0095,15273023.85
"Dala Group, LLC",Deere & Co,388,1.00E-04,232252.92
"Dale Q Rice Investment Management, Ltd.",Deere & Co,1134,4.00E-04,678801.06
"Dana Investment Advisors, Inc.",Deere & Co,1778,7.00E-04,1064293.02
Danske Bank Asset Management,Deere & Co,132931,0.0492,79571167.29
Danske Bank Group Treasury,Deere & Co,2900,0.0011,1735911
Danske Invest Rahastoyhtiö Oy,Deere & Co,3274,0.0012,1959783.66
Darden Wealth Group Inc,Deere & Co,399,1.00E-04,238837.41
"Darwin Wealth Management, LLC",Deere & Co,133,0,79612.47
Davenport Asset Management,Deere & Co,29057,0.0108,17393229.63
"David Lerner Associates, Inc.",Deere & Co,5560,0.0021,3328160.4
"David Vaughan Investments, LLC",Deere & Co,152131,0.0564,91064095.29
"David Wendell Associates, Inc.",Deere & Co,6853,0.0025,4102137.27
"Davidson Investment Advisors, Inc.",Deere & Co,566,2.00E-04,338801.94
Davidson Kempner Capital Management LP,Deere & Co,30000,0.0111,17957700
Davidson Trust Co.,Deere & Co,1149,4.00E-04,687779.91
"Davis Asset Management, L.P.",Deere & Co,1943,7.00E-04,1163060.37
"Davis Capital Management, LLC",Deere & Co,53,0,31725.27
