Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
2914.T,,"J.P. Morgan Investment Management, Inc. (SI)",400,0.0,
2914.T,,UBS Hana Asset Management Company Ltd.,400,0.0,
2914.T,,Franklin Templeton Investment Management Ltd.,400,0.0,
2914.T,,MFS Investment Management,300,0.0,
2914.T,,"Kyobo AXA Investment Managers Co., Ltd.",292,0.0,
2914.T,,"T&D Asset Management Co., Ltd.",245,0.0,
2914.T,,Daiwa Asset Management (America) Ltd.,227,0.0,
2914.T,,Fidelity Investments Canada ULC,202,0.0,
2914.T,,VI Asset Management Korea Co. Ltd.,125,0.0,
2914.T,,Swiss Life Asset Managers France,83,0.0,
2914.T,,Quaestio Capital Management SGR S.p.A.,62,0.0,
2914.T,,Equitile Investments Ltd,0,0.0,
2914.T,,"Vident Investment Advisory, LLC",0,0.0,
2914.T,,Penserra Capital Management LLC,0,0.0,
2914.T,,Ironhorse Capital LLC,0,0.0,
2914.T,,"Knowledge Leaders Capital, LLC",0,0.0,
2914.T,,Neuberger Berman Canada ULC,0,0.0,
2914.T,,"Alpha Architect, LLC",0,0.0,
2914.T,,Richard Bernstein Advisors LLC,0,0.0,
2914.T,,"MFS Institutional Advisors, Inc",0,0.0,
2914.T,,"Alps Advisors, Inc.",0,0.0,
2914.T,,Glenmede Investment Management LP,0,0.0,
2914.T,,Fürst Fugger Privatbank KG,0,0.0,
2914.T,,TBF Global Asset Management GmbH,0,0.0,
2914.T,,"Man Investments, Ltd.",0,0.0,
2914.T,,Northern Trust Global Investments,0,0.0,
2914.T,,St. Galler Kantonalbank AG,0,0.0,
2914.T,,ATB Investment Management Inc.,0,0.0,
2914.T,,CPP Investments,0,0.0,
2914.T,,Seligson & Co Rahastoyhtiö Oyj,0,0.0,
2914.T,,"Arrowstreet Capital, Limited Partnership",0,0.0,
2914.T,,"Harvest Fund Management Co., Ltd.",0,0.0,
2914.T,,Highstreet Asset Management Inc.,0,0.0,
2914.T,,Premier Asset Management Ltd,0,0.0,
2914.T,,Artemis Investment Management LLP,0,0.0,
2914.T,,"Segall Bryant & Hamill, LLC",0,0.0,
2914.T,,Nordea Funds Oy,0,0.0,
2914.T,,LBBW Asset Management Investmentgesellschaft mbH,0,0.0,
2914.T,,Guggenheim Investments,0,0.0,
2914.T,,Bâloise Asset Management,0,0.0,
2914.T,,UOB Asset Management Ltd.,0,0.0,
2914.T,,Brown Advisory,0,0.0,
2914.T,,DZ PRIVATBANK S.A.,0,0.0,
2914.T,,Groupama Asset Management,0,0.0,
2914.T,,Capital International K.K.,0,0.0,
2914.T,,Baring Asset Management Ltd.,0,0.0,
2914.T,,Columbia Threadneedle Management Limited,0,0.0,
2914.T,,Allianz Global Investors GmbH,0,0.0,
2914.T,,Capital International Sarl,0,0.0,
2914.T,,RBC Global Asset Management Inc.,0,0.0,
2914.T,,"Putnam Investment Management, L.L.C.",0,0.0,
2914.T,,Industrial Alliance Investment Management Inc.,0,0.0,
2914.T,,"Thrivent Asset Management, LLC",0,0.0,
2914.T,,"Loomis, Sayles & Company, L.P.",0,0.0,
2914.T,,"American Century Investment Management, Inc.",0,0.0,
2914.T,,Columbia Threadneedle Investments (US),0,0.0,
2914.T,,Grantham Mayo Van Otterloo & Co LLC,0,0.0,
2914.T,,Franklin Templeton Investments Corporation,0,0.0,
2914.T,,PanAgora Asset Management Inc.,0,0.0,
2914.T,,Man Solutions Ltd,0,0.0,
2914.T,,Bancreek Capital Management LP,0,0.0,
2914.T,,Franklin Templeton International Services SARL,0,0.0,
2914.T,,PIMCO Asia Limited,0,0.0,
JBS.N,Jbs NV,J&F Investimentos S.A.,242734515,31.3746,17.48
JBS.N,,Bndes Participacoes SA,199311644,25.762,
JBS.N,,"BlackRock Institutional Trust Company, N.A.",17417574,2.2513,
JBS.N,,"Davis Selected Advisers, L.P.",11854741,1.5323,
JBS.N,,"D. E. Shaw & Co., L.P.",7205628,0.9314,
JBS.N,,Columbia Threadneedle Investments (US),6840816,0.8842,
JBS.N,,State Street Investment Management (US),6138536,0.7934,
JBS.N,,Tomazoni (Gilberto),5858958,0.7573,
JBS.N,,Alberta Investment Management Corporation,4622500,0.5975,
JBS.N,,Woodline Partners LP,4556488,0.5889,
JBS.N,,RREEF America L.L.C.,3816671,0.4933,
JBS.N,,Carrhae Capital LLP,3649226,0.4717,
JBS.N,,"Arrowstreet Capital, Limited Partnership",3540471,0.4576,
JBS.N,,BlackRock Advisors (UK) Limited,3075831,0.3976,
JBS.N,,BlackRock Asset Management Ireland Limited,3003344,0.3882,
JBS.N,,BlackRock Asset Management Deutschland AG,2999003,0.3876,
JBS.N,,"Discovery Capital Management, LLC",2942400,0.3803,
JBS.N,,"Scout Investments, Inc.",2774356,0.3586,
JBS.N,,BNP Paribas Securities Corp. North America,2591133,0.3349,
JBS.N,,"Geode Capital Management, L.L.C.",2494292,0.3224,
JBS.N,,Van Eck Associates Corporation,2378805,0.3075,
JBS.N,,BofA Global Research (US),2345068,0.3031,
JBS.N,,Millennium Management LLC,2217350,0.2866,
JBS.N,,Citadel Advisors LLC,2139884,0.2766,
JBS.N,,Morgan Stanley & Co. LLC,2133981,0.2758,
JBS.N,,Marshall Wace LLP,2046950,0.2646,
JBS.N,,"Brandes Investment Partners, L.P.",1678836,0.217,
JBS.N,,"Jump Financial, LLC",1654197,0.2138,
JBS.N,,Legal & General Investment Management Ltd.,1633931,0.2112,
JBS.N,,"The Vanguard Group, Inc.",1527571,0.1974,
JBS.N,,Qube Research & Technologies Ltd,1385906,0.1791,
JBS.N,,HRT Financial LP,1369634,0.177,
JBS.N,,Loews Corporation,1330000,0.1719,
JBS.N,,Mason Capital Management LLC,1306000,0.1688,
JBS.N,,"Ramirez Asset Management, Inc.",1292547,0.1671,
JBS.N,,Goldman Sachs International,1232285,0.1593,
JBS.N,,Citi Investment Research (US),1202104,0.1554,
JBS.N,,J.P. Morgan Securities plc,1161916,0.1502,
JBS.N,,"Point72 Asset Management, L.P.",1103696,0.1427,
JBS.N,,Cinctive Capital Management LP,1070517,0.1384,
JBS.N,,Bayberry Capital Partners LP,1002000,0.1295,
JBS.N,,Morgan Stanley Investment Management Inc. (US),997330,0.1289,
JBS.N,,"Maple Rock Capital Partners, Inc.",985106,0.1273,
JBS.N,,"Engineers Gate Manager, L.P.",975173,0.126,
JBS.N,,Balyasny Asset Management LP,974545,0.126,
JBS.N,,Winton Capital Management Ltd.,857090,0.1108,
JBS.N,,Quinn Opportunity Partners LLC,845901,0.1093,
JBS.N,,"Sumitomo Mitsui Trust Bank, Limited",845682,0.1093,
JBS.N,,BlackRock Investment Management (UK) Ltd.,765122,0.0989,
JBS.N,,"Praetorian Capital Management, L.L.C.",750000,0.0969,
JBS.N,,"SG Americas Securities, L.L.C.",746785,0.0965,
JBS.N,,Russell Investments Trust Company,732796,0.0947,
JBS.N,,Private Advisory Group LLC,711525,0.092,
JBS.N,,California Public Employees' Retirement System,707960,0.0915,
JBS.N,,PGIM Quantitative Solutions LLC,683600,0.0884,
JBS.N,,Nuveen LLC,680503,0.088,
JBS.N,,"Cohen & Steers Capital Management, Inc.",658361,0.0851,
JBS.N,,"UBS Financial Services, Inc.",641345,0.0829,
JBS.N,,Robeco Institutional Asset Management B.V.,622765,0.0805,
JBS.N,,DWS Investments UK Limited,578379,0.0748,
JBS.N,,"Goldman Sachs & Company, Inc.",568793,0.0735,
JBS.N,,"Two Sigma Investments, LP",550599,0.0712,
JBS.N,,Parametric Portfolio Associates LLC,517972,0.067,
JBS.N,,"Cubist Systematic Strategies, LLC",515320,0.0666,
JBS.N,,Ovata Capital Management Limited,499983,0.0646,
JBS.N,,Morgan Stanley Smith Barney LLC,460210,0.0595,
JBS.N,,"Mitsubishi UFJ Asset Management Co., Ltd.",455300,0.0588,
JBS.N,,California State Teachers Retirement System,428250,0.0554,
JBS.N,,"Charles Schwab Investment Management, Inc.",427720,0.0553,
JBS.N,,New York State Common Retirement Fund,426600,0.0551,
JBS.N,,"Moore Capital Management, LP",425989,0.0551,
JBS.N,,"Neuberger Berman, LLC",421033,0.0544,
JBS.N,,"Hartree Partners, LP",400000,0.0517,
JBS.N,,Federated Hermes Investment Management Company,397091,0.0513,
JBS.N,,"Aperio Group, LLC",394747,0.051,
JBS.N,,"Quantbot Technologies, LP",391287,0.0506,
JBS.N,,Federated Hermes Equity Management Company of Pennsylvania,390999,0.0505,
JBS.N,,"Amundi Asset Management, SAS",390062,0.0504,
JBS.N,,"Journey Advisory Group, LLC",388565,0.0502,
JBS.N,,"BlackRock Japan Co., Ltd.",380901,0.0492,
JBS.N,,Pictet Asset Management Ltd.,371603,0.048,
JBS.N,,Amundi Japan Ltd.,343946,0.0445,
JBS.N,,"NewEdge Wealth, LLC",340776,0.044,
JBS.N,,BMO Nesbitt Burns Inc.,335903,0.0434,
JBS.N,,PSP Investments,325446,0.0421,
JBS.N,,"American Century Investment Management, Inc.",277852,0.0359,
JBS.N,,Mirabella Financial Services LLP,270782,0.035,
JBS.N,,BNY Mellon Asset Management,270751,0.035,
JBS.N,,abrdn Investment Management Limited,262673,0.034,
JBS.N,,"Levin Capital Strategies, L.P.",240108,0.031,
JBS.N,,Itaú Unibanco S.A.,220600,0.0285,
JBS.N,,"SPX Equities Gestão de Recursos, Ltda.",208100,0.0269,
JBS.N,,Atom Investors LP,198450,0.0257,
JBS.N,,Mitsubishi UFJ Trust and Banking Corporation,197676,0.0256,
JBS.N,,"Raymond James & Associates, Inc.",193300,0.025,
JBS.N,,"BlackRock Financial Management, Inc.",187758,0.0243,
JBS.N,,MFS Investment Management,184118,0.0238,
JBS.N,,Cavalcanti (Guilherme Perboyre),183501,0.0237,
JBS.N,,Invesco Capital Management LLC,178052,0.023,
JBS.N,,"Connor, Clark & Lunn Investment Management Ltd.",177600,0.023,
JBS.N,,Steadtrust LLC,176630,0.0228,
JBS.N,,"Envestnet Asset Management, Inc.",176371,0.0228,
JBS.N,,Aware Super,173350,0.0224,
JBS.N,,Longfellow Investment Management Co. LLC,161118,0.0208,
JBS.N,,"AQR Capital Management, LLC",160934,0.0208,
JBS.N,,British Columbia Investment Management Corp.,157400,0.0203,
JBS.N,,UBS Asset Management (Switzerland),155700,0.0201,
JBS.N,,Korea Investment Corporation,155062,0.02,
JBS.N,,"Walnut Level Capital, LLC",152048,0.0197,
JBS.N,,Trexquant Investment LP,150482,0.0195,
JBS.N,,Absolute Gestão de Investimentos Ltda.,150000,0.0194,
JBS.N,,Quattro Financial Advisors LLC,150000,0.0194,
JBS.N,,"Graham Capital Management, L.P.",150000,0.0194,
JBS.N,,"Stifel, Nicolaus & Company, Incorporated",148730,0.0192,
JBS.N,,Capital Research Global Investors,148566,0.0192,
JBS.N,,Managed Account Advisors LLC,148144,0.0191,
JBS.N,,Royal London Asset Management Ltd.,143300,0.0185,
JBS.N,,"Dauntless Investment Group, LLC",140569,0.0182,
JBS.N,,Healthcare Of Ontario Pension Plan,135423,0.0175,
JBS.N,,BlackRock Investment Management (Australia) Ltd.,131304,0.017,
JBS.N,,PensionDanmark A/S,130318,0.0168,
JBS.N,,State Street Investment Management (Japan),128900,0.0167,
JBS.N,,"Alpine Global Management, LLC",125000,0.0162,
JBS.N,,Icatu Vanguarda Gestao de Recursos Ltda,124000,0.016,
JBS.N,,"Northern Trust Investments, Inc.",123751,0.016,
JBS.N,,O Callaghan (Jeremiah),117175,0.0151,
JBS.N,,"DWS Investment Management Americas, Inc.",114917,0.0149,
JBS.N,,BlackRock Asset Management Canada Limited,114192,0.0148,
JBS.N,,National Pension Service,113832,0.0147,
JBS.N,,SEI Investments Management Corporation,112194,0.0145,
JBS.N,,"Susquehanna International Group, LLP",111913,0.0145,
JBS.N,,"IPG Investment Advisors, LLC",110475,0.0143,
JBS.N,,Diametric Capital,105874,0.0137,
JBS.N,,"Lazard Asset Management, L.L.C.",105041,0.0136,
JBS.N,,"Nomura Securities Co., Ltd.",97577,0.0126,
JBS.N,,Anima SGR S.p.A.,95000,0.0123,
JBS.N,,SG Value Partners AG,95000,0.0123,
JBS.N,,BNP Paribas Asset Management UK Limited,94793,0.0123,
JBS.N,,NS Partners Ltd.,90300,0.0117,
JBS.N,,LPL Financial LLC,89855,0.0116,
JBS.N,,"Sterling Capital Management, LLC",89583,0.0116,
JBS.N,,RBC Capital Markets Wealth Management,89214,0.0115,
JBS.N,,"ExodusPoint Capital Management, LP",86992,0.0112,
JBS.N,,"Resona Asset Management Co., Ltd.",85805,0.0111,
JBS.N,,HSBC Global Asset Management (UK) Limited,84926,0.011,
JBS.N,,Credicorp Capital Asset Management S.A. Administradora General de Fondos,84200,0.0109,
JBS.N,,"Spectrum Strategic Capital Management, LLC",83526,0.0108,
JBS.N,,"Simplex Trading, LLC",82694,0.0107,
JBS.N,,Permanent Capital Management LP,81797,0.0106,
JBS.N,,Vestcor Inc,80697,0.0104,
JBS.N,,Universal-Investment-Gesellschaft mbH,80600,0.0104,
JBS.N,,Mellon Investments Corporation,79420,0.0103,
JBS.N,,JPMorgan Private Bank (United States),77277,0.01,
JBS.N,,Zürcher Kantonalbank (Asset Management),76866,0.0099,
JBS.N,,UBS Asset Management (UK) Ltd.,76646,0.0099,
JBS.N,,"Highbridge Capital Management, LLC",76200,0.0098,
JBS.N,,Manulife Investment Management (North America) Limited,74583,0.0096,
JBS.N,,Federated Hermes Investment Counseling,74281,0.0096,
JBS.N,,Northern Trust Global Investments Limited,72209,0.0093,
JBS.N,,Larch Capital Partners LLC.,71290,0.0092,
JBS.N,,Vanguard Investments Australia Ltd.,71013,0.0092,
JBS.N,,"Franklin Advisers, Inc.",69169,0.0089,
JBS.N,,"NewEdge Advisors, LLC",68645,0.0089,
JBS.N,,XTX Markets LLC,68082,0.0088,
JBS.N,,Quantinno Capital Management LP,67275,0.0087,
JBS.N,,Schonfeld Strategic Advisors LLC,64441,0.0083,
JBS.N,,"Nomura Asset Management Co., Ltd.",64150,0.0083,
JBS.N,,"Asset Management One Co., Ltd.",62576,0.0081,
JBS.N,,Asset Management One USA Inc.,62576,0.0081,
JBS.N,,"Goldman Sachs Asset Management, L.P.",62190,0.008,
JBS.N,,"BlackRock Investment Management, LLC",60127,0.0078,
JBS.N,,"Advisors Asset Management, Inc.",59830,0.0077,
JBS.N,,Blackstone Alternative Investment Advisors LLC,59666,0.0077,
JBS.N,,Acadian Asset Management LLC,59356,0.0077,
JBS.N,,abrdn Investments Limited,55581,0.0072,
JBS.N,,DWS Investment GmbH,55165,0.0071,
JBS.N,,Padilla (Raul),55000,0.0071,
JBS.N,,DWS International GmbH,54844,0.0071,
JBS.N,,Mirae Asset Global Investments (USA) LLC,54590,0.0071,
JBS.N,,BlackRock (Netherlands) B.V.,54469,0.007,
JBS.N,,Fidelity Management & Research Company LLC,54377,0.007,
JBS.N,,"Creative Planning, Inc.",54222,0.007,
JBS.N,,Mackenzie Financial Corporation,53899,0.007,
JBS.N,,Virginia Retirement System,53000,0.0069,
JBS.N,,"Nuveen Asset Management, LLC",52536,0.0068,
JBS.N,,LSV Asset Management,51450,0.0067,
JBS.N,,AHL Partners LLP,50918,0.0066,
JBS.N,,Wells Fargo Advisors,50476,0.0065,
JBS.N,,"4wealth Advisors, Inc",50361,0.0065,
JBS.N,,Neuberger Berman Asset Management Ireland Ltd,50000,0.0065,
JBS.N,,Vanguard Asset Management Ltd,49369,0.0064,
JBS.N,,JPMorgan Asset Management U.K. Limited,48465,0.0063,
JBS.N,,Police and Firemen's Retirement System of New Jersey,48267,0.0062,
JBS.N,,MYDA Advisors LLC,48000,0.0062,
JBS.N,,"Deltec Asset Management, LLC",47650,0.0062,
JBS.N,,DBX Advisors LLC.,47251,0.0061,
JBS.N,,Swiss Life Asset Management,47005,0.0061,
JBS.N,,Fideuram Asset Management (Ireland) dac,47000,0.0061,
JBS.N,,Jennison Associates LLC,47000,0.0061,
JBS.N,,Mediolanum International Funds Limited,46815,0.0061,
JBS.N,,Jefferies LLC,46184,0.006,
JBS.N,,"O'Shaughnessy Asset Management, LLC",45940,0.0059,
JBS.N,,"Strategic Asset Management, Ltd.",44359,0.0057,
JBS.N,,VPR Management LLC,43311,0.0056,
JBS.N,,KeyBanc Capital Markets,42129,0.0054,
JBS.N,,Cetera Investment Advisers LLC,40791,0.0053,
JBS.N,,Marex Group plc,40000,0.0052,
JBS.N,,Tidal Investments LLC,38479,0.005,
JBS.N,,AllianceBernstein L.P.,38131,0.0049,
JBS.N,,"Chatham Asset Management, L.L.C.",37274,0.0048,
JBS.N,,GSA Capital Partners LLP,36644,0.0047,
JBS.N,,Moat Capital Gestao de Recursos Ltda,35882,0.0046,
JBS.N,,"Invesco Advisers, Inc.",34753,0.0045,
JBS.N,,Point72 Asia (Singapore) Pte. Ltd.,34302,0.0044,
JBS.N,,BlackRock (Singapore) Limited,33672,0.0044,
JBS.N,,"Yuanta Securities Investment Trust Co., Ltd.",33458,0.0043,
JBS.N,,Sparinvest S.A.,32378,0.0042,
JBS.N,,Teacher Retirement System of Texas,31994,0.0041,
JBS.N,,"Segall Bryant & Hamill, LLC",29700,0.0038,
JBS.N,,"Lighthouse Investment Partners, LLC",28260,0.0037,
JBS.N,,Lannebo Kapitalförvaltning AB,28000,0.0036,
JBS.N,,Aviva Investors Global Services Limited,27974,0.0036,
JBS.N,,"Parvin Asset Management, LLC",27800,0.0036,
JBS.N,,State Street Investment Management (UK),27403,0.0035,
JBS.N,,IFM Investors,27220,0.0035,
JBS.N,,"Thrivent Asset Management, LLC",26407,0.0034,
JBS.N,,"Prelude Capital Management, LLC",26343,0.0034,
JBS.N,,ReAssure Limited,24929,0.0032,
JBS.N,,"Vanguard Personalized Indexing Management, LLC",24585,0.0032,
JBS.N,,Rhumbline Advisers Ltd. Partnership,24047,0.0031,
JBS.N,,Federated Hermes Global Investment Management Corp.,23825,0.0031,
JBS.N,,Verition Fund Management LLC,23601,0.0031,
JBS.N,,"Lido Advisors, LLC",23509,0.003,
JBS.N,,Norte Asset Management,23340,0.003,
JBS.N,,Corient Private Wealth LLC,22096,0.0029,
JBS.N,,"Wolverine Trading, LLC",21706,0.0028,
JBS.N,,Mariner Wealth Advisors,21649,0.0028,
JBS.N,,Ohio Public Employees Retirement System,21070,0.0027,
JBS.N,,Causeway Capital Management LLC,20994,0.0027,
JBS.N,,R Squared Ltd,20704,0.0027,
JBS.N,,"Sumitomo Mitsui DS Asset Management Company, Limited",20350,0.0026,
JBS.N,,Truist Bank,20180,0.0026,
JBS.N,,"Capital Investment Advisory Services, LLC",20018,0.0026,
JBS.N,,Vident Asset Management,19584,0.0025,
JBS.N,,Barclays Wealth,19138,0.0025,
JBS.N,,Aegon Asset Management Ltd,19104,0.0025,
JBS.N,,Voya Investment Management LLC,18885,0.0024,
JBS.N,,PGIM Fixed Income,18700,0.0024,
JBS.N,,"Miller Global Investments, L.L.C.",18585,0.0024,
JBS.N,,Russell Investments Limited,17499,0.0023,
JBS.N,,Virtu Americas LLC,16996,0.0022,
JBS.N,,Dodge & Cox,16950,0.0022,
JBS.N,,Cerity Partners LLC,16835,0.0022,
JBS.N,,Confluence Investment Management LLC,16481,0.0021,
JBS.N,,T. Rowe Price International Ltd,16429,0.0021,
JBS.N,,BlackRock (Luxembourg) S.A.,15977,0.0021,
JBS.N,,Desjardins Global Asset Management,15502,0.002,
JBS.N,,Assenagon Asset Management S.A.,15458,0.002,
JBS.N,,Deutsche Asset Management Americas,14566,0.0019,
JBS.N,,"Pinnacle Wealth Planning Services, Inc.",14435,0.0019,
JBS.N,,Oppenheimer Asset Management Inc.,14135,0.0018,
JBS.N,,Wetherby Asset Management LLC,13472,0.0017,
JBS.N,,Janney Montgomery Scott LLC,13141,0.0017,
JBS.N,,"Sequoia Financial Group, LLC",13003,0.0017,
JBS.N,,FNY Investment Advisers LLC,13000,0.0017,
JBS.N,,"Caption Management, LLC",12800,0.0017,
JBS.N,,"Ensign Peak Advisors, Inc.",12750,0.0016,
JBS.N,,Peoples Financial Advisors,12500,0.0016,
JBS.N,,"Cambridge Investment Research Advisors, Inc.",12390,0.0016,
JBS.N,,"U.S. Bancorp Asset Management, Inc.",12204,0.0016,
JBS.N,,State Street Investment Management Ireland,12198,0.0016,
JBS.N,,Degroof Petercam Asset Services SA,12000,0.0016,
JBS.N,,Degroof Petercam Asset Management,12000,0.0016,
JBS.N,,"Rakuten Investment Management, Inc.",12000,0.0016,
JBS.N,,BNY Wealth,11712,0.0015,
JBS.N,,Commonwealth Financial Network,11528,0.0015,
JBS.N,,"BCS Private Wealth Management, Inc.",11430,0.0015,
JBS.N,,"Signaturefd, LLC",11404,0.0015,
JBS.N,,Bayforest Capital Limited,11314,0.0015,
JBS.N,,IEQ Capital LLC,11256,0.0015,
JBS.N,,Advocate Investing Services LLC,11220,0.0015,
JBS.N,,Point72 (DIFC) Ltd,11074,0.0014,
JBS.N,,PNC Investments LLC,10950,0.0014,
JBS.N,,MLC Asset Management,10744,0.0014,
JBS.N,,"Capital Wealth Advisors, Inc",10681,0.0014,
JBS.N,,Standard Life Assurance Limited,10194,0.0013,
JBS.N,,Northern Trust Global Investments,10058,0.0013,
JBS.N,,AEGON Investment Management B.V.,10055,0.0013,
JBS.N,,CIBC Asset Management Inc.,9815,0.0013,
JBS.N,,Fidelity International,9620,0.0012,
JBS.N,,Atlas Capital Advisors LLC,9532,0.0012,
JBS.N,,Smartleaf Asset Management LLC,8850,0.0011,
JBS.N,,State Street Europe Limited,8600,0.0011,
JBS.N,,"TD Waterhouse Canada, Inc.",8185,0.0011,
JBS.N,,"Tuttle Capital Management, LLC",8065,0.001,
JBS.N,,Intesa Sanpaolo Wealth Management S.A.,8000,0.001,
JBS.N,,"Raymond James Financial Services Advisors, Inc.",7380,0.001,
JBS.N,,Vanguard Global Advisers LLC,7202,0.0009,
JBS.N,,FIL Investment Management (Hong Kong) Limited,6906,0.0009,
JBS.N,,Avadis Anlagestiftung,6297,0.0008,
JBS.N,,"Assetmark, Inc.",6109,0.0008,
JBS.N,,"Kestra Advisory Services, LLC",6063,0.0008,
JBS.N,,"Osaic Holdings, Inc.",5500,0.0007,
JBS.N,,Meriti Capital AB,5369,0.0007,
JBS.N,,Macquarie Investment Management Global Ltd.,5028,0.0006,
JBS.N,,Araujo (Carlos Hamilton Vasconcelos Ph.D.),5000,0.0006,
JBS.N,,Quadrant Family Wealth Advisors,4973,0.0006,
JBS.N,,"Farther Finance Advisors, LLC",4262,0.0006,
JBS.N,,Global X Investments Canada Inc.,4245,0.0005,
JBS.N,,Rockefeller Capital Management,3757,0.0005,
JBS.N,,WNT Gestora de Recursos Ltda.,3700,0.0005,
JBS.N,,Corebridge Financial Inc.,3608,0.0005,
JBS.N,,Hang Seng Investment Management Ltd.,3541,0.0005,
JBS.N,,"Franklin Advisory Services, LLC",3308,0.0004,
JBS.N,,JP Morgan Asset Management,3226,0.0004,
JBS.N,,Carson Wealth Management Group,3111,0.0004,
JBS.N,,"Parallel Advisors, LLC",2887,0.0004,
JBS.N,,Edward Jones,2868,0.0004,
JBS.N,,BlackRock Fund Advisors,2673,0.0003,
JBS.N,,Intrag DTVM Ltda.,2573,0.0003,
JBS.N,,BMO Asset Management Inc.,2540,0.0003,
JBS.N,,"NBC Securities, Inc.",2265,0.0003,
JBS.N,,"Franklin Templeton Institutional, LLC",2240,0.0003,
JBS.N,,BMO Nesbitt Burns Securities Ltd,2175,0.0003,
JBS.N,,Los Angeles Capital Management LLC,2167,0.0003,
JBS.N,,Lombard Odier (Singapore) Ltd.,1741,0.0002,
JBS.N,,Strive Asset Management LLC,1677,0.0002,
JBS.N,,"Westside Investment Management, LLC",1636,0.0002,
JBS.N,,UBS Asset Management Switzerland AG,1400,0.0002,
JBS.N,,GAMMA Investing LLC,1297,0.0002,
JBS.N,,Arax Advisory Partners,1236,0.0002,
JBS.N,,Guardian Financial Services Limited,1236,0.0002,
JBS.N,,Rocky Mountain Advisers LLC,1125,0.0001,
JBS.N,,North Star Investment Management Corporation,1000,0.0001,
JBS.N,,"Stifel Independent Advisors, LLC",985,0.0001,
JBS.N,,"Sands Capital Management, LLC",960,0.0001,
JBS.N,,"Franklin Templeton Portfolio Advisors, Inc",935,0.0001,
JBS.N,,Morgan Stanley & Co. International Plc,629,0.0001,
JBS.N,,BMO Harris Bank N.A.,600,0.0001,
JBS.N,,MLC Investments Limited,588,0.0001,
JBS.N,,The Quarry LP,564,0.0001,
JBS.N,,Barclays Bank PLC,548,0.0001,
JBS.N,,"Allworth Financial, L.P.",494,0.0001,
JBS.N,,"Ancora Advisors, L.L.C.",488,0.0001,
JBS.N,,"RBC Dominion Securities, Inc.",472,0.0001,
JBS.N,,"The MassMutual Trust Company, FSB",449,0.0001,
JBS.N,,"Bessemer Trust Company, N.A. (US)",439,0.0001,
JBS.N,,"Fiduciary Trust International, LLC",395,0.0001,
JBS.N,,"Sunbelt Securities, Inc",335,0.0,
JBS.N,,INVESCO Asset Management Limited,327,0.0,
JBS.N,,Aviva Investors UK Fund Services Limited,316,0.0,
JBS.N,,Numeric Investors LLC,307,0.0,
JBS.N,,Indiana Trust & Investment Management Company,300,0.0,
JBS.N,,"Financial Consulate, Inc.",270,0.0,
JBS.N,,Tower Research Capital LLC,229,0.0,
JBS.N,,"RBC Wealth Management, International",218,0.0,
JBS.N,,"EverSource Wealth Advisors, LLC",158,0.0,
JBS.N,,"Harbour Investments, Inc",150,0.0,
JBS.N,,Franklin Templeton Investment Management Ltd.,130,0.0,
JBS.N,,"Versant Capital Management, Inc.",117,0.0,
JBS.N,,"Wells Fargo Bank, N.A.",111,0.0,
JBS.N,,National Bank of Canada,70,0.0,
JBS.N,,"True Wealth Design, LLC",70,0.0,
JBS.N,,"Ronald Blue Trust, Inc.",70,0.0,
JBS.N,,"SageView Advisory Group, LLC",64,0.0,
JBS.N,,"Wellington Management Company, LLP",29,0.0,
JBS.N,,UBS Asset Management (Americas) LLC,26,0.0,
JBS.N,,Mcguire Capital Advisors Inc,23,0.0,
JBS.N,,"CIBC Private Wealth Advisors, Inc.",15,0.0,
JBS.N,,"Caitong International Asset Management Co., Ltd.",10,0.0,
JBS.N,,Ritholtz Wealth Management LLC,0,0.0,
JBS.N,,"Centiva Capital, LP",0,0.0,
JBS.N,,"The Patriot Financial Group, LLC",0,0.0,
JBS.N,,Kathmere Capital Management,0,0.0,
JBS.N,,Man Investments Inc,0,0.0,
JBS.N,,Banco BTG Pactual SA,0,0.0,
JBS.N,,"Asset Dedication, LLC",0,0.0,
JBS.N,,Independent Financial Partners,0,0.0,
JBS.N,,"BMO Family Office, LLC",0,0.0,
JBS.N,,"D'Orazio & Associates, Inc.",0,0.0,
JBS.N,,"Boothbay Fund Management, LLC",0,0.0,
JBS.N,,Quadrature Capital LLP,0,0.0,
JBS.N,,"The CAPROCK Group, LLC",0,0.0,
JBS.N,,"Tortoise Investment Management, LLC",0,0.0,
JBS.N,,"Advisory Services Network, LLC",0,0.0,
JBS.N,,"BTG Pactual Asset Management US, LLC",0,0.0,
JBS.N,,NewSquare Capital LLC,0,0.0,
JBS.N,,Sanders Morris LLC,0,0.0,
JBS.N,,"Group One Trading, L.P.",0,0.0,
JBS.N,,Morgan Stanley AIP GP LP,0,0.0,
JBS.N,,Parkside Financial Bank & Trust,0,0.0,
JBS.N,,Wealthspire Advisors LLC,0,0.0,
JBS.N,,ITAU USA Asset Management Inc.,0,0.0,
JBS.N,,BW Gestão de Investimentos Ltda.,0,0.0,
JBS.N,,Diversified Trust Company,0,0.0,
JBS.N,,Sagil Capital LLP,0,0.0,
JBS.N,,"Lakewood Capital Management, LP",0,0.0,
JBS.N,,Azimut Investments S.A.,0,0.0,
JBS.N,,"Jane Street Capital, L.L.C.",0,0.0,
